Zaman Damgasi,Kullanici Sorusu,Kullanilan Kaynak,Cevap Suresi (sn),Sistem Basarisi
2026-05-03 17:49:35,Yatay Geçiş,Yok,0.80,1
2026-05-03 17:49:50,Erasmus GANO,Yok,1.49,1
2026-05-06 22:50:11,Yaz Okulu,2901_files_1756292272.pdf,1.23,0
2026-05-07 00:01:40,S,2901_files_1756292348.pdf,1.53,0
2026-05-07 00:01:46,Sinavlara ne kadar kaldi?,2901_files_1756292272.pdf,0.51,0
2026-05-07 00:03:54,ders muafiyeti,2901_files_1756292272.pdf,0.64,1
2026-05-07 00:05:12,Yaz Okulu,2901_files_1756292272.pdf,0.69,1
2026-05-07 00:05:57,mezun olmak için kaç akts almam gerekiyor,2901_files_1756292272.pdf,0.58,0
2026-05-07 01:06:25,Yaz Okulu,2901_files_1756292272.pdf,1.73,1
2026-05-07 01:21:24,"BugBugun hava nasil, Hatay sicaginda ne yapmaliyim?",2901_files_1756292272.pdf,0.81,0
2026-05-07 01:22:07,"Bugun hava nasil, Hatay sicaginda ne yapmaliyim?",2901_files_1756292272.pdf,0.77,0
2026-05-07 01:23:48,Alt d,77_files_1631001768.pdf,0.39,1
2026-05-07 01:24:04,"Alt donemim olarak bana tavsiye ver, bugun hava cok sicak Hatay'da ne yapayim?",2901_files_1756292272.pdf,0.37,1
2026-05-07 01:24:48,"Alt donemim olarak bana tavsiye ver, bugun hava cok sicak Hatay'da ne yapayim?",2901_files_1756292272.pdf,0.39,1
2026-05-07 01:25:10,"Selam, ben senin alt doneminim. Hatay cok sicak bugun, kutuphane mi daha iyi yoksa baska bir yer mi? Bir de kidemli bir muhendislik ogrencisi olarak tavsiyelerin neler?",2901_files_1756292272.pdf,0.93,1
2026-05-07 01:25:31,"Alt donemim olarak bana tavsiye ver, bugun hava cok sicak Hatay'da ne yapayim?",2901_files_1756292272.pdf,3.39,1
2026-05-07 01:25:52,"Lutfen ISTE'de okuyan kidemli bir bilgisayar muhendisligi ogrencisi gibi davran. Hatay cok sicak, bana bir ust donem olarak ne tavsiye verirsin?",2901_files_1756292272.pdf,1.12,1
2026-05-07 17:26:16,Erasmus GANO,2901_files_1756292272.pdf,1.89,1
2026-05-07 17:26:36,erasmus için şartlar neler,2901_files_1756292348.pdf,0.98,1
2026-05-07 17:42:51,degisim problemleri hakkında bilgi alabilir miyim ve sınav hakkında,2901_files_1756292272.pdf,1.39,1
2026-05-07 17:43:36,erasmus dil sınavı şartı nelerdir hangi seviye,2901_files_1756292272.pdf,0.90,1
2026-05-07 17:48:18,erasmus hakkında bilgi alabilir miyim ve dil sınavı da lütfen,Yok,1.25,1
2026-05-07 17:48:51,dil sınavı ne zman oalcak,Yok,0.73,1
2026-05-10 21:56:12,merhaba,"2901_files_1756292272.pdf, 77_files_1631001768.pdf",2.66,1
2026-05-10 21:57:17,Yaz Okulu,2901_files_1756292272.pdf,3.58,1
2026-05-10 22:07:57,eramsu hakkında detaylı bilgi verir misn,2901_files_1756292272.pdf,1.09,1
2026-05-10 22:08:38,Erasmus + Programı hakkında bilgi verir msin,"2901_files_1756292362.pdf, 2901_files_1756292348.pdf",1.00,1
2026-05-10 22:09:10,Yaz okulunda kaç kredi ders alabilrim,2901_files_1756292272.pdf,0.51,1
2026-05-10 22:10:11,İste de erasmsu şartları nelerdir,"2901_files_1756292348.pdf, 2901_files_1756292362.pdf, 2901_files_1756292272.pdf",0.52,1
2026-05-10 22:16:46,Yaz Okulu,2901_files_1756292272.pdf,1.18,1
2026-05-10 22:18:41,Erasmus GANO,"2901_files_1756292272.pdf, 2901_files_1756292348.pdf",0.34,1
2026-05-10 22:19:24,Ders Muafiyeti,"2901_files_1756292272.pdf, 2901_files_1756292348.pdf",0.43,1
2026-05-10 22:20:46,Yaz Okulu,2901_files_1756292272.pdf,0.51,1
